Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
youxia11,-0.194914767890853,5.37903055430888E-14,0.0100000000000002,0,0,0,0.327867300642188,0.000105165440495972,5.73610711880612E-18,6.34972695660545E-18,0.00495572549888621,-2.82976999504264E-20,0.00503903311933937,0,0,0,0,0,0,package://flycar1/meshes/youxia11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/youxia11.STL,,腿212-2,Origin_yx11,,right knee,fixed,0.33,0,-0.025,0,0,1.205,you11,0,0,0,0,0,0,0,,,,,,,,
youlun,7.63278329429795E-17,-1.11022302462516E-16,0.015,0,0,0,0.297523179657173,0.000436067791446482,-2.03287907341032E-19,1.42926984221252E-19,0.000436067791446482,-3.22439621145586E-19,0.000830824034432121,0,0,0,0,0,0,package://flycar1/meshes/youlun.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/youlun.STL,,轮子-2,Origin_yl1,,right wheel1,fixed,-0.376,0,-0.035,0,0,-0.5493,youxia11,0,0,0,,,,,,,,,,,,
dianshua1,-0.000364749901856032,-0.0299936137523494,2.77555756156289E-17,0,0,0,0.0614798977632467,9.44146483925111E-06,-1.35207664940059E-07,1.05860758050852E-20,4.13720218048329E-05,-1.7442308248811E-21,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua1.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua1.STL,,飞行部分650-1/esc platform 80A PRO-2,Origin_ds1,Axis_z1,right brush1,fixed,-0.16883,-0.44476,0.097336,0,0,-2.3562,base_link,0,0,0,,,,,,,,,,,,
dianshua2,-0.000364749901856518,0.0099936137519919,-1.38777878078145E-17,0,0,0,0.0614798977632467,9.44146483925109E-06,1.35207664939107E-07,-1.56386095012854E-20,4.13720218048329E-05,-5.5653418857482E-22,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua2.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua2.STL,,飞行部分650-1/esc platform 80A PRO-7,Origin_ds2,Axis_y1,right brush3,fixed,0.1324,-0.11524,0.097336,0,0,0.7854,base_link,0,0,0,,,,,,,,,,,,
dianshua3,-0.000364749901856476,0.00999361375199193,0,0,0,0,0.0614798977632466,9.44146483925108E-06,1.35207664939119E-07,-1.43634309445639E-20,4.13720218048328E-05,2.03157250737889E-22,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua3.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua3.STL,,飞行部分650-1/esc platform 80A PRO-6,Origin_ds3,Axis_z1,left brush2,fixed,0.14654,-0.43061,0.097336,0,0,-0.7854,base_link,0,0,0,,,,,,,,,,,,
dianshua4,-0.00036474990185649,0.00999361375199187,1.38777878078145E-17,0,0,0,0.0614798977632467,9.44146483925109E-06,1.35207664939109E-07,-9.5838925565504E-21,4.13720218048329E-05,-2.33746620306624E-21,3.60492613594555E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua4.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua4.STL,,飞行部分650-1/esc platform 80A PRO-5,Origin_ds4,Axis_y1,right brush4,fixed,-0.16883,-0.11524,0.097336,-3.1416,0,2.3562,base_link,0,0,0,,,,,,,,,,,,
shan11,0.0613233475250202,-0.0261970222714186,-0.00299409683345653,0,0,0,0.0910591352179713,0.000266154922321934,-2.54206514296999E-11,4.2910608930087E-07,0.000472158378253302,1.88508064647387E-11,0.000246125940186041,0,0,0,0,0,0,package://flycar1/meshes/shan11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/shan11.STL,,飞行部分650-1/下桨叶-1,Origin_11,Axis_z1,blade1down,fixed,-0.34032,-0.5222,0.092336,1.5708,0,-0.43209,base_link,0,0,0,,,,,,,,,,,,
shan21,0.0613233475229382,-0.0261970223049054,-0.00299409708940868,0,0,0,0.0910591353189298,0.000266154922840643,-2.54226529519989E-11,4.29106049900712E-07,0.000472158378770247,1.8840195976304E-11,0.000246125940186041,0,0,0,0,0,0,package://flycar1/meshes/shan21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/shan21.STL,,飞行部分650-1/下桨叶-2,Origin_21,Axis_z1,blade2down,fixed,0.22399,-0.60211,0.092336,1.5708,0,1.1387,base_link,0,0,0,,,,,,,,,,,,
shan31,0.0613233476776904,-0.0261970212974139,-0.00299409708083249,0,0,0,0.0910591319362049,0.000266154922544256,-2.53731567014985E-11,4.29106104132606E-07,0.000472158378358499,1.88582697486392E-11,0.000246125940032365,0,0,0,0,0,0,package://flycar1/meshes/shan31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/shan31.STL,,飞行部分650-1/下桨叶-3,Origin_31,Axis_y1,blade3down,fixed,0.30389,-0.037796,0.092336,1.5708,0,2.7095,base_link,0,0,0,,,,,,,,,,,,
shan41,0.0613233476839502,-0.026197026216585,-0.00299409685042029,0,0,0,0.0910591491197046,0.000266155085211546,-2.53716736067286E-11,4.29106640761433E-07,0.000472158541059013,1.88731595805593E-11,0.000246125940070192,0,0,0,0,0,0,package://flycar1/meshes/shan41.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flycar1/meshes/shan41.STL,,飞行部分650-1/下桨叶-4,Origin_41,Axis_y1,blade4down,fixed,-0.26042,0.042106,0.092336,1.5708,0,-2.0029,base_link,0,0,0,,,,,,,,,,,,
dianshau11,-0.000364749901856476,0.00999361375199187,0,0,0,0,0.0614798977632466,9.44146483925109E-06,1.35207664939107E-07,-1.94317751389853E-20,4.13720218048329E-05,-4.54038493762194E-21,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshau11.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshau11.STL,,飞行部分650-1/esc platform 80A PRO-1,Origin_ds11,Axis_z1,left brush1,fixed,-0.16883,-0.44476,0.097336,0,0,-2.3562,base_link,0,0,0,,,,,,,,,,,,
dianshua21,-0.000364749901856504,0.00999361375199187,0,0,0,0,0.0614798977632467,9.44146483925108E-06,1.35207664939087E-07,-1.07976452130115E-20,4.13720218048329E-05,1.40078893319743E-21,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua21.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua21.STL,,飞行部分650-1/esc platform 80A PRO-4,Origin_ds21,Axis_y1,left brush3,fixed,0.14654,-0.12939,0.097336,3.1416,0,0.7854,base_link,0,0,0,,,,,,,,,,,,
dianshua31,-0.000364749901856531,0.00999361375199184,1.38777878078145E-17,0,0,0,0.0614798977632467,9.4414648392511E-06,1.35207664939104E-07,-1.2569773469508E-20,4.13720218048329E-05,7.70105340968606E-23,3.60492613594555E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua31.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua31.STL,,飞行部分650-1/esc platform 80A PRO-3,Origin_ds31,Axis_z1,right brush2,fixed,0.1324,-0.44476,0.097336,3.1416,0,-0.7854,base_link,0,0,0,,,,,,,,,,,,
dianshua41,-0.00036474990185649,0.00999361375199181,0,0,0,0,0.0614798977632466,9.44146483925108E-06,1.35207664939094E-07,-1.14324802999E-20,4.13720218048329E-05,-8.80416840822301E-22,3.60492613594554E-05,0,0,0,0,0,0,package://flycar1/meshes/dianshua41.STL,1,1,1,1,0,0,0,0,0,0,package://flycar1/meshes/dianshua41.STL,,飞行部分650-1/esc platform 80A PRO-8,Origin_ds41,Axis_y1,left brush4,fixed,-0.18297,-0.12939,0.097336,0,0,2.3562,base_link,0,0,0,,,,,,,,,,,,
